License Type,Business Name,Street Address,Status,City,State,Zip Code,Phone No.,year,LicenceNumber
Scrap Metal Dealer License,BIG BULLDOG AUTO PARTS,3700 S GERTRUDE ST,RENEWED,South Bend,IN,46614,574-472-1277,2022,SCR2022-001
Restaurant (N-Z) License,YELLOW CAT CAFE,808 E Colfax Ave,RENEWED,SOUTH BEND,IN,46617,574-233-2233,2021,RST2021-326
Mobile Food Vendor (A-M) 1 Year License,FRANKYS TACOS LLC,2720 MISHAWAKA AVE,ACTIVE,SOUTH BEND,IN,46615,574-596-3196,2023,MFV2023-007
Restaurant (A-M) License,CHIMICHURRI,601 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-400-0979,2022,RST2022-093
Restaurant (A-M) License,DON JUAN CANTINA & GRILL,3421 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-246-0331,2023,RST2023-078
Restaurant (A-M) License,ALOFT - REFUEL AND WXYZ BAR,111 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-8000,2022,RST2022-480
Restaurant (A-M) License,KROGER #903,1217 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-291-0666,2022,RST2022-222
Alarm Agent License,ADT LLC DBA PROTECTION ONE,11918 Exit 5 Parkway,RENEWED,GREENWOOD,IN,46143,561-226-3437,2020,8677ALARM2020
Restaurant (A-M) License,"Career Academy of South Bend, INC","3801 CRESCENT CIR, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-299-9800,2022,RST2022-473
Restaurant (N-Z) License,SAINT MARY PARISH PNCC,1601 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-485-8520,2022,RST2022-154
Tattoo/Body Piercing Artist License,ALYSON KALUZNY,2026 CHAPIN ST,ACTIVE,SOUTH BEND,IN,46613,NA,2023,TAA2023-011
Taxi Driver License,"GATONYE, STANLEY",4328 HUNTER RUN CIR,ACTIVE,SOUTH BEND,IN,46628,574-256-8145,2022,TXD2022-001
Food Vending Machine License,COFFEL VENDING,1405 S BYRKIT AVE,READY2ISSU,MISHAWAKA,IN,46544,574-255-4321,2023,FVM2023-003
Secondhand Store License,Muebleria Alejandro,"1708 S MICHIGAN ST, SOUTH BEND, 46613",ACTIVE,SOUTH BEND,IN,46613,574-876-8434,2023,SHN2023-013
Automotive Repair License,DEVREESE ENTERPRISES,1314 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-288-0822,2021,AUT2021-033
Restaurant (A-M) License,MANDARIN HOUSE RESTAURANT,2104 EDISON RD,RENEWED,SOUTH BEND,IN,46617,574-287-4414,2020,330RESTAM2020
Restaurant (A-M) License,KELLY'S PUB,1150   MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-287-7379,2020,1711RESTAM2020
Restaurant (A-M) License,LASALLE KITCHEN AND TAVERN,115 W  COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-288-1174,2020,8034RESTAM2020
Restaurant (N-Z) License,The Skillet Restaurant,"2212 MCKINLEY AVE, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-233-7104,2022,RST2022-111
Restaurant (N-Z) License,CHOCOLATE CAFE' - SOUTH BEND CLINIC,"211 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,South Bend,IN,46619,574-233-2577,2020,RST2020-022
Restaurant (A-M) License,KELLY'S PUB,1150 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-287-7379,2022,RST2022-042
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-056
Massage Establishment License,NEW YOU OASIS LLC,"910 E IRELAND RD, SOUTH BEND, 46614",INACTIVE,SOUTH BEND,IN,46614,574-222-2244,2022,MSE2022-005
Restaurant (A-M) License,KENNEDY PRIMARY ACADEMY,609 N OLIVE ST,EXPIRED,SOUTH BEND,IN,46628,574-393-3112,2022,RST2022-456
Restaurant (N-Z) License,SUNRISE CAFE,1805 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-232-2323,2020,RST2020-040
Arborist License,ARBORCARE INC,15511 KELLY RD,RENEWED,MISHAWAKA,IN,46544,574-255-7173,2022,ARB2022-011
Lawn Parking License,1208 N. TWYCKENHAM DR.,1208 N. TWYCKENHAM DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2022,LWN2022-034
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-041
Restaurant (N-Z) License,SPIRITED LLC,105 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46628,574-406-6946,2020,RST2020-035
Restaurant (A-M) License,FRANKYS TACOS LLC,2720 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-596-3196,2022,RST2022-402
Rubbish/Garbage Removal License,WILLIE ALSANDER,3719 W JEFFERSON BLVD,ABT2EXP,South Bend,IN,46619,NA,2022,GAR2022-001
Restaurant (N-Z) License,NUEVA VIDA,2013   FORD ST,RENEWED,SOUTH BEND,IN,46619,574-339-8332,2020,5747RESTZ2020
Arborist License,MAAC PROPERTY SERVICES,2344 Yankee St,RENEWED,NILES,MI,49120,269-687-8845,2021,ARB2021-019
Restaurant (N-Z) License,TACO BELL,221 W LASALLE AVE,READY2ISSU,SOUTH BEND,IN,46601,574-233-3431,2023,RST2023-304
Arborist License,ARBORCARE INC,15511   KELLY RD,RENEWED,MISHAWAKA,IN,46544,574-255-7173,2021,ARB2021-015
Massage Establishment License,MASSAGE BY SUZANNE,914 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46616,574-993-7537,2021,MSE2021-001
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,4207 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-291-0083,2022,RST2022-263
Restaurant (A-M) License,CAFE NAVARRE,101 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-968-8101,2022,RST2022-292
Restaurant (A-M) License,Hoosier Spot,"2302 S MICHIGAN ST, SOUTH BEND, 46614",ACTIVE,South Bend,IN,46614,574-222-2290,2023,RST2023-152
Restaurant (A-M) License,EVANGEL HEIGHTS UNITED METHODIST CHURCH,"114 N IRONWOOD DR, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-234-8379,2022,RST2022-065
Mobile Food Vendor (N-Z) 1 Year License,"Smothered & Covered Fries and More, LLC",1114 VICTORY AVE,RENEWED,South Bend,IN,46615,574-323-3397,2020,MFV2020-002
Restaurant (A-M) License,KERN RD LLC,61045 US-31 S,RENEWED,SOUTH BEND,IN,46614,347-596-6509,2020,RST2020-050
Hotel and Motel License,HOLIDAY INN EXPRESS,210 CALLANDER ST,RENEWED,SOUTH BEND,IN,46614,574-291-1040,2022,HTM2022-006
Restaurant (N-Z) License,OC MARKET,815 N OLIVE ST,READY2ISSU,SOUTH BEND,IN,46628,574-855-4251,2023,RST2023-354
Open Air Business License,"PURPLE PORCH CO-OP, INC",123 N HILL ST,RENEWED,SOUTH BEND,IN,46617,574-287-6724,2021,OAB2021-004
Self Service Laundry/Dry Cleaner License,BURTON'S LAUNDRY,1897 E  IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-255-6101,2021,LND21-00014
Restaurant (A-M) License,Bru Burger Bar,1234 N EDDY ST,ACTIVE,South Bend,IN,46617,574-990-9110,2023,RST2023-089
Massage Therapist License,XIN CHEN,5569 BUCKHORN DR,EXPIRED,SOUTH BEND,IN,46614,574-274-7005,2022,MST2022-012
Alarm Agent License,SMITH SOUTHERN,2210 W 34th St,RENEWED,LUBBOCK,TX,79453,713-956-8800,2020,6994ALARM2020
Restaurant (N-Z) License,SUBWAY #035,6424 W  BRICK RD,RENEWED,SOUTH BEND,IN,46628,574-272-8212,2022,RST2022-232
Restaurant (A-M) License,Lincolnway Grill,"1003 LINCOLN WAY W, SOUTH BEND, IN, 466161147",ACTIVE,South Bend,IN,46616,574-233-7814,2023,RST2023-038
Arborist License,SAN-MAR TREE & MAINTENANCE,54555   PINE RD,RENEWED,SOUTH BEND,IN,46628,574-286-6884,2020,2343ARBOR2020
Restaurant (N-Z) License,NAVARRE CATERING - DBA PALAIS,105 W COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-235-5612,2022,RST2022-304
Hotel and Motel License,HOLIDAY INN EXPRESS,"210 CALLANDAR ST, SOUTH BEND, IN  46614",RENEWED,SOUTH BEND,IN,46614,574-291-1040,2021,HTM2021-001
Restaurant (A-M) License,CHIPPEWA BOWL,"225 W CHIPPEWA AVE, SOUTH BEND, IN, 46614",READY2ISSU,SOUTH BEND,IN,46614,574-291-5093,2023,RST2023-382
Restaurant (N-Z) License,POPEYE'S LOUISIANA KITCHEN,2605 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-232-0000,2021,RST2021-384
Restaurant (N-Z) License,RAGAMUFFIN BAKERY & COFFEE,321 S MAIN ST,RENEWED,SOUTH BEND,IN,46601,765-366-3808,2022,RST2022-206
Restaurant (A-M) License,CHARLIE'S,2334 PRAIRIE AVE,ACTIVE,SOUTH BEND,IN,46614,574-247-7800,2023,RST2023-068
Restaurant (N-Z) License,SOUTH BEND FARMER'S MARKET CAFE,1105 NORTHSIDE BLVD,ACTIVE,SOUTH BEND,IN,46615,574-282-1259,2023,RST2023-010
Restaurant (A-M) License,BOARDGASM,401 E. COLFAX AVE.,READY2ISSU,SOUTH BEND,IN,46615,574-241-1407,2023,RST2023-256
Alarm Agent License,SPEEDWAY LLC,500 Speedway Dr,ACTIVE,Enon,OH,45323,972-828-6710,2023,ALR2023-049
Restaurant (A-M) License,CHIPOTLE MEXICAN GRILL #1268,1251 N EDDY ST 101,READY2ISSU,South Bend,IN,46617,614-318-2482,2023,RST2023-153
Restaurant (A-M) License,MCCLURE OIL CORP. #75,"6220 MICHIGAN ST,  SOUTH BEND,  46614",RENEWED,MARION,IN,46952,765-674-9771,2020,3376RESTAM2020
Donation Box License,GOODWILL INDUSTRIES OF MICHIAN,1805 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-472-7300,2020,6649DBAC2020
Restaurant (N-Z) License,"Tony’s Kitchen, LLC","643 LA PORTE AVE, SOUTH BEND, IN, 46628",READY2ISSU,SOUTH BEND,IN,46628,574-404-2908,2023,RST2023-299
Restaurant (A-M) License,Marycrest Marathon,2322 W. Western Ave.,ACTIVE,SOUTH BEND,IN,46619,574-233-8375,2023,RST2023-340
Alarm Agent License,COPS MONITORING,1041 Glassboro Rd,ACTIVE,WILLIAMSTOWN,NJ,08094,856-629-1111,2023,ALR2023-041
Restaurant (N-Z) License,RICO SUAVE GROUP LLC,933 CLOVER ST,RENEWED,SOUTH BEND,IN,46615,574-520-2148,2021,RST2021-146
Lawn Parking License,1901 DORWOOD DR.,1901 DORWOOD DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-037
Restaurant (A-M) License,JENNY'S BAKERY,740 S WALNUT ST,RENEWED,SOUTH BEND,IN,46619,574-283-0211,2022,RST2022-430
Massage Therapist License,DIANA B. ZEBROSKI,"25784 HUNT TRL,  SOUTH BEND,  46628",RENEWED,SOUTH BEND,IN,46628,NA,2020,MST2020-002
Restaurant (N-Z) License,PUERTORRICAN BAKERY & COFFEE S,1107 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46616,574-300-1110,2020,RST2020-027
Restaurant (N-Z) License,TAQUERIA MILLAN'S MEXICAN FOOD,1502 LINCOLN WAY W,INACTIVE,SOUTH BEND,IN,46628,574-300-2970,2021,RST2021-444
Massage Therapist License,DENA MARIE WOODS,"20807 Wellesley Ct, South Bend, Indiana, 46637",RENEWED,SOUTH BEND,IN,46637,574-261-8500,2021,MST2021-003
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,INACTIVE,SOUTH BEND,IN,46613,574-233-9599,2022,TXV2022-008
Rubbish/Garbage Removal License,JUNK B GONE,1421 HILDRETH ST,ABT2EXP,SOUTH BEND,IN,46615,574-340-6241,2022,GAR2022-007
Restaurant (A-M) License,HOLY CROSS SCHOOL,1020 WILBER ST.,RENEWED,SOUTH BEND,IN,46628,574-233-2179,2022,RST2022-014
Restaurant (N-Z) License,SUNNY ITALY CAFE,601 N NILES AVE,EXPIRED,SOUTH BEND,IN,46617,574-232-9620,2023,RST2023-057
Open Air Business License,GATES TOYOTA INC.,640 W  IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-237-4999,2020,7221OPARPV2020
Hotel and Motel License,CANDLEWOOD SUITES,3916 LINCOLNWAY W,ACTIVE,SOUTH BEND,IN,46628,574-968-1072,2023,HTM2023-001
Restaurant (A-M) License,MC DONALD'S 25100,3402 PORTAGE AVE,RENEWED,South Bend,IN,46628,269-240-7362,2022,RST2022-078
Arborist License,DOUG'S MISHAWAKA TREE SERVICE INC.,11303 EDISON RD,ACTIVE,OSCEOLA,IN,46561,574-259-5700,2023,ARB2023-033
Lawn Parking License,102 N. TWYCKENHAM DR.,102 N. TWYCKENHAM DR.,INACTIVE,SOUTH BEND,IN,46637,NA,2021,LWN2021-017
Restaurant (N-Z) License,"The Cat Lady Cafe, LLC",401 E Colfax Ave Suite 104,ACTIVE,South Bend,IN,46617,574-228-2266,2023,RST2023-182
Restaurant (N-Z) License,PALACIO TROPICAL,2012 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-288-9074,2020,946RESTZ2020
Mobile Food Vendor (A-M) 1 Year License,El Amigo Pepe LLC,"226 E. Main St., Niles, MI 49120",EXPIRED,Niles,MI,49120,269-683-1942,2022,MFV2022-007
Restaurant (A-M) License,MC DONALD'S 493,416 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-400-0775,2022,RST2022-270
Self Service Laundry/Dry Cleaner License,BURTON'S LAUNDRY,1258 ELWOOD AVE,READY2ISSU,SOUTH BEND,IN,46628,574-255-6101,2021,LND21-00013
Restaurant (A-M) License,BURGER KING #3722,121 W LASALLE AVE,RENEWED,South Bend,IN,46601,574-233-8651,2022,RST2022-191
Automotive Repair License,BELLE TIRE DISTRIBUTORS INC.,3660   PORTAGE AVE,RENEWED,ALLEN PARK,MI,48101,NA,2020,7238AUTO2020
Open Air Business License,PORTAGE FARM STANDS,1002 PORTAGE AVE.,INACTIVE,SOUTH BEND,IN,46616,574-386-7817,2022,OAB2022-004
Restaurant (A-M) License,Bakers Bar & Grille,"123 N DR. MARTIN LUTHER KING JR DR, SOUTH BEND, IN, 46601",RENEWED,South Bend,IN,46601,574-234-2000,2022,RST2022-332
Restaurant (A-M) License,J J FISH & CHICKEN,2324 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-234-3660,2021,RST2021-103
Peddlers and Canvassers License,ALDER HOLDINGS INC.,"450 N. 1500 W. OREM, UT  84057",INACTIVE,OREM,UT,84057,385-218-2754,2021,PDL2021-025
Restaurant (A-M) License,PAPA JOHN'S,1811 S Ironwood Dr,ACTIVE,SOUTH BEND,IN,46613,330-533-0900,2023,RST2023-241
Lawn Parking License,1219 N. Garland St.,1219 N. Garland St.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-024
Restaurant (A-M) License,Chico's Mexican/American Restaurant Inc.,2418 W. Western Ave.,READY2ISSU,South Bend,IN,46619,574-237-9198,2023,RST2023-173
Restaurant (A-M) License,LAFAYETTE TRADITIONAL SCHOOL,245 N LOMBARDY DR,EXPIRED,SOUTH BEND,IN,46619,574-393-5862,2022,RST2022-457
Restaurant (A-M) License,LA SONORITA,3622 EDISON RD 500,RENEWED,SOUTH BEND,IN,46615,574-387-5787,2022,RST2022-265
Charitable Solicitation License,St. Joseph County F.O.P. #155,904 W 4TH ST,ACTIVE,South Bend,IN,46634,574-233-9045,2023,CHS2023-001
Massage Therapist License,DIANA B. ZEBROSKI,"25784 HUNT TRL,  SOUTH BEND,  46628",CLOSED,SOUTH BEND,IN,46628,NA,2021,MST2021-002
Self Service Laundry/Dry Cleaner License,BURTON'S LAUNDRY,3706 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-255-6101,2021,LND21-00016
Restaurant (N-Z) License,ROYAL EXPRESS MART,2124 MCKINLEY AVE,EXPIRED,SOUTH BEND,IN,46617,574-855-3523,2022,RST2022-522
Restaurant (N-Z) License,Taco Bell #3004059,"6225 Brick Rd. South Bend, IN 46628",RENEWED,South Bend,IN,46628,574-247-1700,2021,RST2021-352
Lawn Parking License,1105 N. ST. LOUIS BLVD.,1105 N. ST. LOUIS BLVD.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-064
Restaurant (A-M) License,JSS OIL INC. dba HOOSIER SPOT,"2302 S MICHIGAN ST,  SOUTH BEND,  46614",RENEWED,SOUTH BEND,IN,46614,574-222-2290,2022,RST2022-475
Restaurant (N-Z) License,VEGETABLE BUDDIES INC.,129 N  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46624,574-232-0954,2020,7671RESTZ2020
Restaurant (A-M) License,GIRASOL CARRY OUT,525 N  EDDY ST,CLOSED,SOUTH BEND,IN,46617,574-251-0073,2020,3289RESTAM2020
